# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8799
#@/user_id	winK
cai zhi dao 	纔知道	c=1 d=1 t=8722
can 	殘	c=1 d=1 t=2968
can kao 	參考	c=1 d=1 t=4624
can ku 	殘酷	c=1 d=1 t=3222
can shu 	參數	c=7 d=1.99193 t=8155
can yu 	參與	c=1 d=1 t=370
cang ku 	倉庫	c=1 d=1 t=3223
cao 	草	c=6 d=1.00139 t=8662
cao gao 	草稿	c=1 d=1 t=2604
cao zuo 	操作	c=3 d=1.00325 t=7185
ce mian 	側面	c=1 d=1 t=4121
ce shi 	測試	c=3 d=1.0194 t=8333
ce shi wo 	測試我	c=1 d=1 t=8006
ce su 	測速	c=1 d=1 t=3802
ceng 	層	c=1 d=1 t=3837
cha 	差	c=2 d=1.00047 t=3408
cha 	插	c=1 d=1 t=2872
cha 	查	c=6 d=1.11961 t=8767
cha 	茶	c=1 d=1 t=4164
cha bu duo 	差不多	c=2 d=1.00001 t=5665
cha jian 	插件	c=2 d=1.00193 t=2648
cha kan 	查看	c=1 d=1 t=1208
cha shang 	插上	c=1 d=1 t=5713
cha yi 	差異	c=1 d=1 t=3273
chai 	拆	c=2 d=1.19398 t=6438
chan sheng 	產生	c=1 d=1 t=2292
chang 	唱	c=1 d=1 t=8729
chang 	嚐	c=1 d=1 t=8420
chang 	場	c=3 d=0.100065 t=6280
chang 	長	c=2 d=1 t=8769
chang chu 	嚐出	c=1 d=1 t=7441
chang du 	長度	c=1 d=1 t=8353
chang guo 	嘗過	c=1 d=1 t=7436
chang mao xiang 	長毛象	c=1 d=1 t=7601
chang qi 	長期	c=1 d=1 t=5724
chang sha 	長沙	c=2 d=1.99005 t=8748
chang shi 	嘗試	c=1 d=1 t=2400
chao 	超	c=3 d=1 t=8639
chao chu 	超出	c=3 d=2.96042 t=2576
chao ji 	超級	c=2 d=1.00002 t=6059
chao shi 	超市	c=1 d=1 t=8563
che 	車	c=1 d=1 t=7521
che di 	徹底	c=1 d=1 t=4969
chen 	趁	c=2 d=1.9802 t=499
chen 	陳	c=1 d=1 t=2320
cheng 	城	c=4 d=1 t=6222
cheng 	成	c=8 d=1.00305 t=8219
cheng ben 	成本	c=1 d=1 t=326
cheng du 	程度	c=2 d=1.17552 t=1495
cheng gong 	成功	c=2 d=1.5627 t=3886
cheng ren 	承認	c=1 d=1 t=652
cheng shi 	城市	c=1 d=1 t=171
cheng xu 	程序	c=10 d=1.00654 t=8471
cheng xu yuan 	程序員	c=1 d=1 t=1511
cheng yu 	成語	c=1 d=1 t=7704
cheng yuan 	成員	c=1 d=1 t=7044
chi 	吃	c=4 d=1.5886 t=4224
chi cun 	尺寸	c=2 d=1.98511 t=2575
chi li 	吃力	c=1 d=1 t=4674
chong 	充	c=1 d=1 t=2809
chong 	衝	c=2 d=1.93707 t=3768
chong 	重	c=3 d=1.00002 t=4634
chong dian 	充電	c=1 d=1.09005 t=2793
chong dian tou 	充電頭	c=1 d=1 t=2794
chong qi 	重啓	c=2 d=1.71177 t=2228
chong xin 	重新	c=6 d=1.5338 t=7657
chong zai 	重載	c=1 d=1 t=7046
chong zhi 	充值	c=1 d=1 t=1597
chong zhi 	重置	c=4 d=1.91081 t=5413
chong zhuang 	重裝	c=1 d=1 t=7554
chu 	出	c=7 d=1.00135 t=8397
chu 	畜	c=1 d=1 t=8744
chu 	除	c=3 d=1.32957 t=6285
chu fa 	觸發	c=2 d=1.87372 t=8168
chu fei 	除非	c=1 d=1 t=3388
chu lai 	出來	c=1 d=1 t=4367
chu li 	處理	c=5 d=1.98138 t=7482
chu ping 	觸屏	c=1 d=1 t=6423
chu qu 	出去	c=2 d=1.96079 t=5590
chu xian 	出現	c=3 d=1.00005 t=7073
chuan 	傳	c=12 d=1.12484 t=5143
chuan 	穿	c=2 d=1.00146 t=6277
chuan ran 	傳染	c=1 d=1 t=6819
chuan shu 	傳輸	c=3 d=1.0009 t=8120
chuan tong 	傳統	c=3 d=1 t=8264
chuang 	創	c=1 d=1 t=1363
chuang 	牀	c=1 d=1 t=5493
chuang jian 	創建	c=3 d=1.00089 t=6873
chuang kou 	窗口	c=3 d=2.07382 t=8351
chuang kou zui da 	窗口最大	c=1 d=1 t=8349
chuang xin 	創新	c=1 d=1 t=8257
chui 	吹	c=2 d=1 t=6402
chui zhi 	垂直	c=1 d=1 t=8326
chun 	純	c=2 d=1.04573 t=7203
chun 	蠢	c=1 d=1 t=5807
ci 	詞	c=2 d=0.1 t=8336
cong 	從	c=12 d=1.02582 t=7972
cong lai 	從來	c=1 d=1 t=7071
cou 	湊	c=2 d=1.99501 t=7585
cuan gai 	篡改	c=1 d=1 t=4608
cun 	存	c=1 d=1 t=7744
cuo 	錯	c=4 d=1 t=6214
cuo guo 	錯過	c=1 d=1 t=7725
cuo la 	錯啦	c=1 d=1 t=6543
cuo wu 	錯誤	c=1 d=1 t=4523
da 	大	c=12 d=2.0988 t=8610
da 	打	c=12 d=1.85078 t=8629
da 	達	c=2 d=1.83946 t=5452
da an 	答案	c=0 d=0.116203 t=2641
da bao 	打包	c=2 d=1.06721 t=2647
da che 	打車	c=1 d=1 t=2773
da da 	大大	c=0 d=0.1 t=1906
da da da 	大大大	c=1 d=1 t=1907
da gai 	大概	c=1 d=1 t=7222
da gai lv 	打概率	c=1 d=1 t=2625
da ge ge 	大哥哥	c=1 d=1 t=2313
da gong 	打工	c=1 d=1 t=1562
da guo 	打過	c=1 d=1 t=841
da ji ti 	大集體	c=3 d=2.84177 t=4073
da jia 	大家	c=4 d=1.00003 t=6998
da jia 	打架	c=2 d=1.25795 t=4917
da jie jie 	大姐姐	c=1 d=1 t=2310
da kai 	打開	c=2 d=1 t=4320
da liang 	大量	c=1 d=1 t=1118
da lu 	大陸	c=2 d=1 t=8439
da nao 	大腦	c=2 d=1 t=8484
da ren 	大人	c=0 d=0.1 t=2277
da sa 	搭撒	c=0 d=0.1 t=2277
da sha 	大廈	c=1 d=1 t=195
da she wan 	大蛇丸	c=0 d=0.1 t=2277
da shi 	大師	c=1 d=1 t=4154
da shi dai 	大時代	c=0 d=0.1 t=2641
da si 	打死	c=1 d=1 t=4657
da ting 	大廳	c=1 d=1 t=1351
da wa 	大窪	c=1 d=1.09005 t=2277
da wang 	大王	c=0 d=0.1 t=5414
da xiao 	大小	c=3 d=1 t=8331
da xing 	大型	c=1 d=1 t=2412
da yin 	打印	c=4 d=1.0304 t=7854
da zai 	搭載	c=1 d=1 t=6701
dai 	帶	c=5 d=1.00021 t=6420
dai 	待	c=2 d=1.99005 t=7689
dai biao 	代表	c=0 d=0.1 t=391
dai hao 	代號	c=1 d=1 t=3172
dai kuan 	帶寬	c=1 d=1 t=2260
dai li 	代理	c=8 d=1.28111 t=6599
dai ma 	代碼	c=6 d=1.00014 t=6867
dai ti 	代替	c=4 d=1.00056 t=8764
dai wo 	待我	c=1 d=1 t=2415
dan 	但	c=17 d=1.75398 t=8298
dan 	單	c=3 d=1.00017 t=7866
dan 	蛋	c=4 d=1.129 t=5584
dan chun 	單純	c=2 d=1.00173 t=6299
dan du 	單獨	c=1 d=1 t=7268
dan mu 	彈幕	c=6 d=2.88854 t=6174
dan shi 	但是	c=39 d=2.75991 t=8454
dan wo 	但我	c=2 d=1 t=4863
dan yao 	彈藥	c=1 d=1 t=2422
dang 	當	c=3 d=1.03159 t=4935
dang di ren 	當地人	c=0 d=0.1 t=2641
dang ni 	當你	c=1 d=1 t=1311
dang ran 	當然	c=1 d=1 t=3561
dang shi 	當時	c=1 d=1 t=8499
dang shi ren 	當事人	c=0 d=0.1 t=2277
dang wai ren shi 	黨外人士	c=0 d=0.1 t=2277
dang zheng 	黨政	c=2 d=1.956 t=4009
dao 	倒	c=2 d=1.65705 t=3915
dao 	到	c=27 d=1.26211 t=8707
dao 	道	c=2 d=1.65051 t=3916
dao chu 	到處	c=1 d=1 t=3088
dao di 	到底	c=4 d=1.05803 t=7233
dao li 	道理	c=3 d=1.79907 t=5639
dao qi 	到期	c=1 d=1 t=288
dao ru 	導入	c=1 d=1 t=5947
dao shi 	倒是	c=2 d=1.03597 t=3942
dao shi hou 	到時候	c=3 d=2.37409 t=7595
dao wei 	到位	c=2 d=0.288247 t=6789
dao zhi 	導致	c=2 d=1 t=6920
de 	得	c=4 d=1 t=7817
de 	德	c=1 d=1 t=2772
de 	的	c=371 d=10.957 t=8792
de a du wu 	的阿堵物	c=1 d=1 t=2273
de dao 	得到	c=2 d=1.98511 t=5118
de le 	得了	c=1 d=1 t=7819
deng 	燈	c=1 d=1 t=18
deng 	等	c=8 d=1.00139 t=7588
deng ju 	等距	c=1 d=1 t=5473
deng lu 	登錄	c=1 d=1 t=1071
deng ni 	等你	c=1 d=1 t=1974
deng wo 	等我	c=2 d=1.001 t=2443
deng yu 	等於	c=2 d=1 t=6842
di 	低	c=2 d=1.00015 t=2261
di 	底	c=1 d=1 t=444
di 	滴	c=1 d=1 t=1788
di 	第	c=4 d=1.00171 t=6764
di 	蒂	c=1 d=1 t=2765
di di 	弟弟	c=4 d=2.83863 t=4239
di er 	第二	c=1 d=1 t=2487
di er ge 	第二個	c=2 d=1.79852 t=2491
di er tian 	第二天	c=1 d=1 t=778
di fang 	地方	c=6 d=1.17926 t=2672
di qiu 	地球	c=5 d=1.02945 t=1291
di san fang 	第三方	c=5 d=2.3153 t=3072
di san ge 	第三個	c=1 d=1 t=6768
di sang ge 	第桑個	c=1 d=1 t=6773
di tie 	地鐵	c=8 d=7.42683 t=2830
di tu 	地圖	c=3 d=1.14157 t=2639
di wu 	第五	c=0 d=0.1 t=2045
di wu dai 	第五代	c=0 d=0.1 t=2277
di wu jie duan 	第五階段	c=1 d=1 t=2046
di yi 	第一	c=3 d=2.86223 t=4590
di yi bu 	第一步	c=1 d=1 t=2048
di yi bu 	第一部	c=1 d=1 t=2049
di yi chang 	第一場	c=1 d=1 t=518
di yi ci 	第一次	c=4 d=1.00015 t=4556
di zhi 	地址	c=2 d=1 t=7483
dian 	墊	c=3 d=1.00872 t=3718
dian 	點	c=15 d=1.006 t=7952
dian fei 	電費	c=1 d=1 t=2810
dian feng 	巔峯	c=1 d=1 t=7150
dian ji 	點擊	c=1 d=1 t=8344
dian nao 	電腦	c=6 d=2.38365 t=3598
dian shi 	電視	c=1 d=1 t=6886
dian wei qi 	電位器	c=0 d=0.1 t=2271
dian ying 	電影	c=6 d=1.98511 t=6227
dian ying yuan 	電影院	c=4 d=1 t=6260
dian zi 	電子	c=1 d=1 t=6912
diao 	掉	c=5 d=1 t=7636
diao yong 	調用	c=2 d=1.79453 t=8144
ding 	定	c=37 d=1 t=6279
ding 	訂	c=3 d=1.03217 t=1584
ding 	頂	c=3 d=1.06235 t=8172
ding ding 	叮叮	c=2 d=1.26847 t=2643
ding ding ding ding 	頂頂頂頂	c=0 d=0.1 t=2641
diu 	丟	c=7 d=1.26189 t=5543
diu dao 	丟到	c=2 d=1.00001 t=5514
diu shi 	丟失	c=1 d=1 t=5471
dong 	動	c=3 d=1.07957 t=5527
dong 	懂	c=9 d=1.47237 t=8761
dong 	東	c=19 d=8.58497 t=375
dong hua 	動畫	c=7 d=1.75386 t=4858
dong man 	動漫	c=1 d=1 t=8252
dong shou 	動手	c=1 d=1 t=7927
dong tai 	動態	c=0 d=0.1 t=7503
dong tai qu 	動態區	c=1 d=1 t=7504
dong xi 	東西	c=12 d=1.28915 t=8776
dong zuo 	動作	c=1 d=1 t=1334
dou 	抖	c=3 d=2.80977 t=1858
dou 	都	c=52 d=1.39902 t=8111
dou bu zhi dao 	都不知道	c=1 d=1 t=8498
dou fu 	豆腐	c=1 d=1 t=5744
dou hao 	都好	c=0 d=0.1 t=1914
dou neng 	都能	c=2 d=1.00001 t=7674
dou shi 	都是	c=5 d=1 t=7781
dou xing 	都行	c=1 d=1 t=2017
dou yao 	都要	c=1 d=1 t=4547
dou yong 	都用	c=1 d=1 t=3385
dou you 	都有	c=3 d=1 t=3432
du 	度	c=3 d=1.00008 t=4790
du 	讀	c=2 d=1 t=5259
du 	都	c=2 d=1 t=3984
du du 	嘟嘟	c=1 d=1 t=8227
du li 	獨立	c=4 d=2.19179 t=6493
du li xuan yan 	獨立宣言	c=2 d=1.9802 t=6486
du pin 	毒品	c=1 d=1 t=3953
du qu 	讀取	c=6 d=1.935 t=8409
du wa si 	毒瓦斯	c=0 d=0.1 t=2271
duan 	斷	c=3 d=2.6483 t=3612
duan 	段	c=1 d=1 t=625
duan pian 	短片	c=1 d=1 t=7129
duan xu 	斷續	c=1 d=1 t=5531
dui 	堆	c=1 d=1 t=2423
dui 	對	c=17 d=2.57742 t=8133
dui ba 	對吧	c=1 d=1 t=8418
dui dai 	對待	c=1 d=1 t=5870
dui dui 	對對	c=0 d=0.1 t=1928
dui dui dui 	對對對	c=1 d=1 t=1929
dui mian 	對面	c=1 d=1 t=2217
dui qi 	對齊	c=1 d=1 t=5479
dui xiang 	對象	c=1 d=1 t=7041
dui zhan 	對戰	c=2 d=1.96561 t=7324
duo 	多	c=13 d=2.22303 t=8201
duo chu 	多出	c=1 d=1 t=1616
duo de shi 	多得是	c=0 d=0.1 t=2641
duo de shi da an a a a a a a a a a a a a ai ren wu dao ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding ding dang di ren da shi dai de wu ren 	多得是答案啊啊啊啊啊啊啊啊啊啊啊啊愛人誤導頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂頂當地人大時代的無人	c=1 d=1 t=2642
duo jiu 	多久	c=4 d=1.00003 t=7475
duo nian 	多年	c=1 d=1 t=3083
duo qing 	多情	c=1 d=1 t=8756
duo ren 	多人	c=1 d=1 t=2650
duo shao 	多少	c=2 d=1.0066 t=4744
